day,home team,away team
12,Philadelphia 76ers,Charlotte Hornets
12,Miami Heat,Portland Trail Blazers
12,Memphis Grizzlies,Phoenix Suns
12,Milwaukee Bucks,Orlando Magic
12,San Antonio Spurs,Los Angeles Lakers
13,Brooklyn Nets,Golden State Warriors
13,Dallas Mavericks,Utah Jazz
13,Oklahoma City Thunder,Phoenix Suns
13,LA Clippers,Washington Wizards
14,Indiana Pacers,Portland Trail Blazers
14,Philadelphia 76ers,Atlanta Hawks
14,Miami Heat,Sacramento Kings
14,New York Knicks,Brooklyn Nets
14,Chicago Bulls,Golden State Warriors
14,Milwaukee Bucks,Toronto Raptors
14,Minnesota Timberwolves,Los Angeles Lakers
14,San Antonio Spurs,Dallas Mavericks
14,Denver Nuggets,New Orleans Pelicans
15,Charlotte Hornets,Miami Heat
15,Cleveland Cavaliers,Atlanta Hawks
15,Orlando Magic,Sacramento Kings
15,Boston Celtics,Detroit Pistons
15,Toronto Raptors,Philadelphia 76ers
15,Houston Rockets,Portland Trail Blazers
15,Memphis Grizzlies,Washington Wizards
15,Oklahoma City Thunder,LA Clippers
16,Brooklyn Nets,Detroit Pistons
16,New York Knicks,Indiana Pacers
16,Chicago Bulls,Denver Nuggets
16,Minnesota Timberwolves,Utah Jazz
16,Golden State Warriors,New Orleans Pelicans
16,Los Angeles Lakers,Dallas Mavericks
16,Phoenix Suns,San Antonio Spurs
17,Charlotte Hornets,Oklahoma City Thunder
17,Cleveland Cavaliers,Denver Nuggets
17,Philadelphia 76ers,LA Clippers
17,Atlanta Hawks,Sacramento Kings
17,Boston Celtics,Milwaukee Bucks
17,Portland Trail Blazers,New Orleans Pelicans
18,Orlando Magic,LA Clippers
18,Brooklyn Nets,Houston Rockets
18,Washington Wizards,Oklahoma City Thunder
18,Chicago Bulls,Indiana Pacers
18,Dallas Mavericks,New York Knicks
18,Utah Jazz,Memphis Grizzlies
18,Phoenix Suns,Toronto Raptors
18,Golden State Warriors,Minnesota Timberwolves
19,Philadelphia 76ers,Detroit Pistons
19,Charlotte Hornets,Cleveland Cavaliers
19,Indiana Pacers,Boston Celtics
19,Atlanta Hawks,Miami Heat
19,Chicago Bulls,Houston Rockets
19,San Antonio Spurs,New Orleans Pelicans
19,Denver Nuggets,Utah Jazz
19,Portland Trail Blazers,Los Angeles Lakers
20,Milwaukee Bucks,Sacramento Kings
20,Brooklyn Nets,Philadelphia 76ers
20,Washington Wizards,New York Knicks
20,San Antonio Spurs,Orlando Magic
20,Phoenix Suns,Memphis Grizzlies
20,Portland Trail Blazers,Minnesota Timberwolves
20,Los Angeles Lakers,Toronto Raptors
21,Detroit Pistons,Miami Heat
21,Indiana Pacers,Houston Rockets
21,Orlando Magic,Cleveland Cavaliers
21,New York Knicks,Chicago Bulls
21,Oklahoma City Thunder,New Orleans Pelicans
21,Denver Nuggets,Boston Celtics
21,Utah Jazz,Toronto Raptors
