day,home team,away team
22,Phoenix Suns,Brooklyn Nets
23,Sacramento Kings,Toronto Raptors
23,Atlanta Hawks,New York Knicks
23,Los Angeles Lakers,Minnesota Timberwolves
23,Dallas Mavericks,Utah Jazz
23,New Orleans Pelicans,Chicago Bulls
23,Memphis Grizzlies,Denver Nuggets
23,Orlando Magic,Detroit Pistons
23,Cleveland Cavaliers,Oklahoma City Thunder
23,Miami Heat,San Antonio Spurs
23,Indiana Pacers,Philadelphia 76ers
24,Portland Trail Blazers,LA Clippers
24,Phoenix Suns,Boston Celtics
24,Golden State Warriors,Milwaukee Bucks
24,Oklahoma City Thunder,Houston Rockets
25,Orlando Magic,Washington Wizards
25,Atlanta Hawks,Detroit Pistons
25,Sacramento Kings,Minnesota Timberwolves
25,Philadelphia 76ers,Charlotte Hornets
25,Utah Jazz,Boston Celtics
25,Denver Nuggets,Brooklyn Nets
25,Miami Heat,Indiana Pacers
26,Toronto Raptors,New York Knicks
26,LA Clippers,Milwaukee Bucks
26,Sacramento Kings,Los Angeles Lakers
26,Miami Heat,Washington Wizards
26,Dallas Mavericks,Oklahoma City Thunder
26,New Orleans Pelicans,Phoenix Suns
26,Chicago Bulls,Cleveland Cavaliers
26,San Antonio Spurs,Houston Rockets
26,Golden State Warriors,Brooklyn Nets
26,Memphis Grizzlies,Philadelphia 76ers
27,Portland Trail Blazers,Boston Celtics
27,New York Knicks,Orlando Magic
27,Los Angeles Lakers,Atlanta Hawks
27,Detroit Pistons,Charlotte Hornets
27,Denver Nuggets,Milwaukee Bucks
27,Houston Rockets,Indiana Pacers
28,Toronto Raptors,New Orleans Pelicans
28,LA Clippers,Golden State Warriors
28,Orlando Magic,Washington Wizards
28,Chicago Bulls,Dallas Mavericks
28,Sacramento Kings,San Antonio Spurs
28,Memphis Grizzlies,Utah Jazz
28,Oklahoma City Thunder,Phoenix Suns
28,Minnesota Timberwolves,Brooklyn Nets
28,Miami Heat,Philadelphia 76ers
29,Golden State Warriors,Atlanta Hawks
29,Cleveland Cavaliers,Charlotte Hornets
29,Denver Nuggets,Houston Rockets
30,Toronto Raptors,Detroit Pistons
30,Los Angeles Lakers,Portland Trail Blazers
30,Oklahoma City Thunder,New York Knicks
30,Washington Wizards,Cleveland Cavaliers
30,Dallas Mavericks,Utah Jazz
30,Minnesota Timberwolves,New Orleans Pelicans
30,Boston Celtics,Chicago Bulls
30,Orlando Magic,Philadelphia 76ers
30,Phoenix Suns,San Antonio Spurs
30,Milwaukee Bucks,Memphis Grizzlies
30,Brooklyn Nets,Miami Heat
31,LA Clippers,San Antonio Spurs
31,Denver Nuggets,Atlanta Hawks
31,Houston Rockets,Golden State Warriors
32,Boston Celtics,Toronto Raptors
32,Minnesota Timberwolves,Portland Trail Blazers
32,New Orleans Pelicans,New York Knicks
32,Washington Wizards,Brooklyn Nets
32,Memphis Grizzlies,Sacramento Kings
32,Philadelphia 76ers,Utah Jazz
32,Milwaukee Bucks,Chicago Bulls
32,Indiana Pacers,Miami Heat
33,Chicago Bulls,Toronto Raptors
33,Brooklyn Nets,LA Clippers
33,Orlando Magic,Los Angeles Lakers
33,Dallas Mavericks,Golden State Warriors
33,Indiana Pacers,Atlanta Hawks
33,New Orleans Pelicans,Denver Nuggets
33,Houston Rockets,Sacramento Kings
33,Charlotte Hornets,Philadelphia 76ers
33,Boston Celtics,Utah Jazz
33,Phoenix Suns,Oklahoma City Thunder
34,Washington Wizards,Portland Trail Blazers
34,Orlando Magic,New York Knicks
34,Miami Heat,Los Angeles Lakers
34,Minnesota Timberwolves,Memphis Grizzlies
34,San Antonio Spurs,Golden State Warriors
35,Atlanta Hawks,LA Clippers
35,Memphis Grizzlies,Dallas Mavericks
35,New Orleans Pelicans,San Antonio Spurs
35,Sacramento Kings,Oklahoma City Thunder
35,Charlotte Hornets,Boston Celtics
35,Indiana Pacers,Utah Jazz
35,Milwaukee Bucks,Denver Nuggets
35,Philadelphia 76ers,Phoenix Suns
35,Detroit Pistons,Cleveland Cavaliers
36,Orlando Magic,Toronto Raptors
36,New York Knicks,Portland Trail Blazers
36,Washington Wizards,LA Clippers
36,Miami Heat,Brooklyn Nets
37,Atlanta Hawks,Toronto Raptors
37,Milwaukee Bucks,Portland Trail Blazers
37,Boston Celtics,New York Knicks
37,Cleveland Cavaliers,Los Angeles Lakers
37,Dallas Mavericks,Brooklyn Nets
37,Philadelphia 76ers,New Orleans Pelicans
37,Sacramento Kings,Utah Jazz
37,Charlotte Hornets,Indiana Pacers
37,Chicago Bulls,Phoenix Suns
37,Minnesota Timberwolves,Denver Nuggets
37,Houston Rockets,Detroit Pistons
37,Golden State Warriors,Oklahoma City Thunder
37,San Antonio Spurs,Memphis Grizzlies
39,Toronto Raptors,Washington Wizards
39,Golden State Warriors,Portland Trail Blazers
39,LA Clippers,Memphis Grizzlies
39,New York Knicks,New Orleans Pelicans
39,Los Angeles Lakers,Utah Jazz
39,Atlanta Hawks,Boston Celtics
39,Oklahoma City Thunder,Charlotte Hornets
39,Chicago Bulls,Miami Heat
39,Denver Nuggets,Orlando Magic
39,Milwaukee Bucks,Phoenix Suns
39,Detroit Pistons,Houston Rockets
39,Brooklyn Nets,Minnesota Timberwolves
39,Philadelphia 76ers,Cleveland Cavaliers
39,Indiana Pacers,San Antonio Spurs
40,Washington Wizards,New Orleans Pelicans
40,Dallas Mavericks,Boston Celtics
40,Golden State Warriors,Sacramento Kings
40,Chicago Bulls,Minnesota Timberwolves
40,Oklahoma City Thunder,Denver Nuggets
40,Milwaukee Bucks,San Antonio Spurs
40,Cleveland Cavaliers,Houston Rockets
41,Toronto Raptors,Miami Heat
41,Portland Trail Blazers,LA Clippers
41,Memphis Grizzlies,New York Knicks
41,Los Angeles Lakers,Orlando Magic
41,Atlanta Hawks,Charlotte Hornets
41,Sacramento Kings,Utah Jazz
41,Detroit Pistons,Phoenix Suns
41,Brooklyn Nets,Philadelphia 76ers
42,Washington Wizards,Houston Rockets
42,New Orleans Pelicans,Boston Celtics
42,Charlotte Hornets,Milwaukee Bucks
42,Utah Jazz,Indiana Pacers
42,Chicago Bulls,San Antonio Spurs
42,Golden State Warriors,Orlando Magic
42,Cleveland Cavaliers,Minnesota Timberwolves
